city,year,weekofyear,total_cases
sj,2008,18,16
sj,2008,19,1
sj,2008,20,10
sj,2008,21,14
sj,2008,22,5
sj,2008,23,14
sj,2008,24,4
sj,2008,25,6
sj,2008,26,20
sj,2008,27,0
sj,2008,28,21
sj,2008,29,18
sj,2008,30,13
sj,2008,31,42
sj,2008,32,52
sj,2008,33,62
sj,2008,34,55
sj,2008,35,67
sj,2008,36,130
sj,2008,37,85
sj,2008,38,74
sj,2008,39,91
sj,2008,40,98
sj,2008,41,128
sj,2008,42,102
sj,2008,43,108
sj,2008,44,81
sj,2008,45,96
sj,2008,46,90
sj,2008,47,98
sj,2008,48,108
sj,2008,49,66
sj,2008,50,76
sj,2008,51,57
sj,2008,52,49
sj,2009,1,73
sj,2009,2,64
sj,2009,3,60
sj,2009,4,46
sj,2009,5,49
sj,2009,6,44
sj,2009,7,44
sj,2009,8,42
sj,2009,9,41
sj,2009,10,39
sj,2009,11,5
sj,2009,12,27
sj,2009,13,32
sj,2009,14,36
sj,2009,15,29
sj,2009,16,34
sj,2009,17,26
sj,2009,18,32
sj,2009,19,12
sj,2009,20,32
sj,2009,21,30
sj,2009,22,41
sj,2009,23,40
sj,2009,24,37
sj,2009,25,53
sj,2009,26,53
sj,2009,27,60
sj,2009,28,80
sj,2009,29,90
sj,2009,30,78
sj,2009,31,65
sj,2009,32,102
sj,2009,33,72
sj,2009,34,81
sj,2009,35,96
sj,2009,36,75
sj,2009,37,41
sj,2009,38,42
sj,2009,39,92
sj,2009,40,134
sj,2009,41,112
sj,2009,42,73
sj,2009,43,56
sj,2009,44,96
sj,2009,45,58
sj,2009,46,43
sj,2009,47,63
sj,2009,48,73
sj,2009,49,51
sj,2009,50,49
sj,2009,51,62
sj,2009,52,55
sj,2010,53,42
sj,2010,1,58
sj,2010,2,43
sj,2010,3,37
sj,2010,4,34
sj,2010,5,25
sj,2010,6,27
sj,2010,7,28
sj,2010,8,25
sj,2010,9,23
sj,2010,10,22
sj,2010,11,8
sj,2010,12,15
sj,2010,13,6
sj,2010,14,7
sj,2010,15,4
sj,2010,16,4
sj,2010,17,0
sj,2010,18,8
sj,2010,19,6
sj,2010,20,4
sj,2010,21,0
sj,2010,22,0
sj,2010,23,33
sj,2010,24,27
sj,2010,25,12
sj,2010,26,20
sj,2010,27,21
sj,2010,28,87
sj,2010,29,0
sj,2010,30,11
sj,2010,31,50
sj,2010,32,54
sj,2010,33,71
sj,2010,34,79
sj,2010,35,86
sj,2010,36,59
sj,2010,37,56
sj,2010,38,57
sj,2010,39,60
sj,2010,40,32
sj,2010,41,38
sj,2010,42,38
sj,2010,43,61
sj,2010,44,40
sj,2010,45,58
sj,2010,46,52
sj,2010,47,56
sj,2010,48,30
sj,2010,49,39
sj,2010,50,45
sj,2010,51,33
sj,2011,52,0
sj,2011,1,1
sj,2011,2,14
sj,2011,3,7
sj,2011,4,14
sj,2011,5,14
sj,2011,6,7
sj,2011,7,21
sj,2011,8,12
sj,2011,9,0
sj,2011,10,12
sj,2011,11,0
sj,2011,12,6
sj,2011,13,0
sj,2011,14,0
sj,2011,15,1
sj,2011,16,0
sj,2011,17,3
sj,2011,18,12
sj,2011,19,0
sj,2011,20,0
sj,2011,21,3
sj,2011,22,1
sj,2011,23,11
sj,2011,24,0
sj,2011,25,3
sj,2011,26,5
sj,2011,27,8
sj,2011,28,16
sj,2011,29,26
sj,2011,30,14
sj,2011,31,11
sj,2011,32,23
sj,2011,33,57
sj,2011,34,17
sj,2011,35,11
sj,2011,36,78
sj,2011,37,63
sj,2011,38,41
sj,2011,39,71
sj,2011,40,16
sj,2011,41,49
sj,2011,42,61
sj,2011,43,22
sj,2011,44,53
sj,2011,45,56
sj,2011,46,24
sj,2011,47,58
sj,2011,48,67
sj,2011,49,23
sj,2011,50,20
sj,2011,51,6
sj,2012,52,2
sj,2012,1,30
sj,2012,2,17
sj,2012,3,8
sj,2012,4,12
sj,2012,5,12
sj,2012,6,13
sj,2012,7,9
sj,2012,8,13
sj,2012,9,0
sj,2012,10,8
sj,2012,11,9
sj,2012,12,0
sj,2012,13,0
sj,2012,14,9
sj,2012,15,0
sj,2012,16,6
sj,2012,17,1
sj,2012,18,0
sj,2012,19,0
sj,2012,20,0
sj,2012,21,2
sj,2012,22,3
sj,2012,23,0
sj,2012,24,0
sj,2012,25,8
sj,2012,26,0
sj,2012,27,1
sj,2012,28,18
sj,2012,29,3
sj,2012,30,3
sj,2012,31,4
sj,2012,32,0
sj,2012,33,3
sj,2012,34,22
sj,2012,35,0
sj,2012,36,22
sj,2012,37,2
sj,2012,38,7
sj,2012,39,44
sj,2012,40,24
sj,2012,41,0
sj,2012,42,0
sj,2012,43,19
sj,2012,44,3
sj,2012,45,6
sj,2012,46,26
sj,2012,47,5
sj,2012,48,12
sj,2012,49,8
sj,2012,50,0
sj,2012,51,0
sj,2013,1,18
sj,2013,2,20
sj,2013,3,14
sj,2013,4,9
sj,2013,5,16
sj,2013,6,14
sj,2013,7,8
sj,2013,8,8
sj,2013,9,8
sj,2013,10,0
sj,2013,11,10
sj,2013,12,6
sj,2013,13,9
sj,2013,14,3
sj,2013,15,0
sj,2013,16,6
sj,2013,17,12
iq,2010,26,1
iq,2010,27,0
iq,2010,28,0
iq,2010,29,0
iq,2010,30,1
iq,2010,31,0
iq,2010,32,1
iq,2010,33,1
iq,2010,34,1
iq,2010,35,0
iq,2010,36,2
iq,2010,37,0
iq,2010,38,0
iq,2010,39,0
iq,2010,40,0
iq,2010,41,0
iq,2010,42,3
iq,2010,43,1
iq,2010,44,0
iq,2010,45,5
iq,2010,46,0
iq,2010,47,1
iq,2010,48,4
iq,2010,49,0
iq,2010,50,1
iq,2010,51,1
iq,2011,52,0
iq,2011,1,7
