city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,6
sj,2008,20,6
sj,2008,21,0
sj,2008,22,0
sj,2008,23,1
sj,2008,24,8
sj,2008,25,17
sj,2008,26,21
sj,2008,27,22
sj,2008,28,21
sj,2008,29,28
sj,2008,30,38
sj,2008,31,42
sj,2008,32,55
sj,2008,33,54
sj,2008,34,51
sj,2008,35,57
sj,2008,36,68
sj,2008,37,67
sj,2008,38,66
sj,2008,39,73
sj,2008,40,88
sj,2008,41,87
sj,2008,42,87
sj,2008,43,77
sj,2008,44,65
sj,2008,45,72
sj,2008,46,71
sj,2008,47,70
sj,2008,48,60
sj,2008,49,49
sj,2008,50,38
sj,2008,51,32
sj,2008,52,29
sj,2009,1,27
sj,2009,2,27
sj,2009,3,26
sj,2009,4,24
sj,2009,5,23
sj,2009,6,16
sj,2009,7,13
sj,2009,8,15
sj,2009,9,13
sj,2009,10,15
sj,2009,11,17
sj,2009,12,9
sj,2009,13,7
sj,2009,14,8
sj,2009,15,5
sj,2009,16,3
sj,2009,17,3
sj,2009,18,3
sj,2009,19,-1
sj,2009,20,3
sj,2009,21,-2
sj,2009,22,13
sj,2009,23,6
sj,2009,24,9
sj,2009,25,19
sj,2009,26,20
sj,2009,27,23
sj,2009,28,30
sj,2009,29,40
sj,2009,30,49
sj,2009,31,56
sj,2009,32,55
sj,2009,33,56
sj,2009,34,57
sj,2009,35,63
sj,2009,36,59
sj,2009,37,65
sj,2009,38,70
sj,2009,39,81
sj,2009,40,103
sj,2009,41,110
sj,2009,42,110
sj,2009,43,99
sj,2009,44,80
sj,2009,45,76
sj,2009,46,81
sj,2009,47,89
sj,2009,48,87
sj,2009,49,66
sj,2009,50,57
sj,2009,51,46
sj,2009,52,41
sj,2010,53,40
sj,2010,1,35
sj,2010,2,36
sj,2010,3,34
sj,2010,4,33
sj,2010,5,23
sj,2010,6,20
sj,2010,7,26
sj,2010,8,26
sj,2010,9,38
sj,2010,10,27
sj,2010,11,21
sj,2010,12,25
sj,2010,13,20
sj,2010,14,19
sj,2010,15,9
sj,2010,16,21
sj,2010,17,35
sj,2010,18,26
sj,2010,19,19
sj,2010,20,18
sj,2010,21,20
sj,2010,22,42
sj,2010,23,40
sj,2010,24,37
sj,2010,25,43
sj,2010,26,49
sj,2010,27,54
sj,2010,28,65
sj,2010,29,69
sj,2010,30,75
sj,2010,31,76
sj,2010,32,81
sj,2010,33,78
sj,2010,34,79
sj,2010,35,86
sj,2010,36,91
sj,2010,37,97
sj,2010,38,107
sj,2010,39,118
sj,2010,40,133
sj,2010,41,136
sj,2010,42,109
sj,2010,43,90
sj,2010,44,89
sj,2010,45,99
sj,2010,46,87
sj,2010,47,71
sj,2010,48,63
sj,2010,49,63
sj,2010,50,50
sj,2010,51,41
sj,2011,52,24
sj,2011,1,30
sj,2011,2,36
sj,2011,3,32
sj,2011,4,27
sj,2011,5,17
sj,2011,6,13
sj,2011,7,13
sj,2011,8,15
sj,2011,9,15
sj,2011,10,10
sj,2011,11,13
sj,2011,12,-1
sj,2011,13,5
sj,2011,14,8
sj,2011,15,0
sj,2011,16,0
sj,2011,17,-1
sj,2011,18,5
sj,2011,19,-4
sj,2011,20,-1
sj,2011,21,12
sj,2011,22,20
sj,2011,23,25
sj,2011,24,50
sj,2011,25,46
sj,2011,26,42
sj,2011,27,45
sj,2011,28,49
sj,2011,29,57
sj,2011,30,76
sj,2011,31,71
sj,2011,32,82
sj,2011,33,74
sj,2011,34,81
sj,2011,35,81
sj,2011,36,75
sj,2011,37,96
sj,2011,38,105
sj,2011,39,123
sj,2011,40,138
sj,2011,41,122
sj,2011,42,110
sj,2011,43,92
sj,2011,44,103
sj,2011,45,99
sj,2011,46,103
sj,2011,47,88
sj,2011,48,77
sj,2011,49,57
sj,2011,50,54
sj,2011,51,36
sj,2012,52,33
sj,2012,1,34
sj,2012,2,31
sj,2012,3,29
sj,2012,4,19
sj,2012,5,16
sj,2012,6,13
sj,2012,7,15
sj,2012,8,13
sj,2012,9,12
sj,2012,10,7
sj,2012,11,1
sj,2012,12,-1
sj,2012,13,0
sj,2012,14,5
sj,2012,15,8
sj,2012,16,2
sj,2012,17,9
sj,2012,18,9
sj,2012,19,2
sj,2012,20,16
sj,2012,21,3
sj,2012,22,-6
sj,2012,23,15
sj,2012,24,17
sj,2012,25,27
sj,2012,26,31
sj,2012,27,33
sj,2012,28,45
sj,2012,29,63
sj,2012,30,74
sj,2012,31,70
sj,2012,32,75
sj,2012,33,83
sj,2012,34,75
sj,2012,35,74
sj,2012,36,70
sj,2012,37,80
sj,2012,38,99
sj,2012,39,130
sj,2012,40,141
sj,2012,41,131
sj,2012,42,142
sj,2012,43,123
sj,2012,44,123
sj,2012,45,109
sj,2012,46,109
sj,2012,47,112
sj,2012,48,87
sj,2012,49,66
sj,2012,50,49
sj,2012,51,41
sj,2013,1,34
sj,2013,2,34
sj,2013,3,31
sj,2013,4,29
sj,2013,5,24
sj,2013,6,21
sj,2013,7,18
sj,2013,8,16
sj,2013,9,18
sj,2013,10,21
sj,2013,11,20
sj,2013,12,17
sj,2013,13,10
sj,2013,14,4
sj,2013,15,9
sj,2013,16,6
sj,2013,17,1
iq,2010,26,4
iq,2010,27,3
iq,2010,28,6
iq,2010,29,6
iq,2010,30,3
iq,2010,31,3
iq,2010,32,5
iq,2010,33,4
iq,2010,34,3
iq,2010,35,3
iq,2010,36,5
iq,2010,37,5
iq,2010,38,7
iq,2010,39,6
iq,2010,40,5
iq,2010,41,8
iq,2010,42,10
iq,2010,43,10
iq,2010,44,10
iq,2010,45,7
iq,2010,46,9
iq,2010,47,13
iq,2010,48,14
iq,2010,49,14
iq,2010,50,9
iq,2010,51,4
iq,2011,52,6
iq,2011,1,8
iq,2011,2,12
iq,2011,3,13
iq,2011,4,11
iq,2011,5,11
iq,2011,6,11
iq,2011,7,11
iq,2011,8,11
iq,2011,9,9
iq,2011,10,7
iq,2011,11,6
iq,2011,12,6
iq,2011,13,7
iq,2011,14,6
iq,2011,15,5
iq,2011,16,5
iq,2011,17,5
iq,2011,18,6
iq,2011,19,3
iq,2011,20,4
iq,2011,21,4
iq,2011,22,3
iq,2011,23,3
iq,2011,24,2
iq,2011,25,2
iq,2011,26,3
iq,2011,27,4
iq,2011,28,3
iq,2011,29,2
iq,2011,30,3
iq,2011,31,2
iq,2011,32,3
iq,2011,33,3
iq,2011,34,2
iq,2011,35,2
iq,2011,36,3
iq,2011,37,5
iq,2011,38,7
iq,2011,39,9
iq,2011,40,9
iq,2011,41,10
iq,2011,42,10
iq,2011,43,10
iq,2011,44,8
iq,2011,45,7
iq,2011,46,9
iq,2011,47,11
iq,2011,48,13
iq,2011,49,13
iq,2011,50,10
iq,2011,51,6
iq,2012,52,5
iq,2012,1,8
iq,2012,2,12
iq,2012,3,12
iq,2012,4,11
iq,2012,5,11
iq,2012,6,11
iq,2012,7,10
iq,2012,8,8
iq,2012,9,7
iq,2012,10,5
iq,2012,11,4
iq,2012,12,4
iq,2012,13,5
iq,2012,14,4
iq,2012,15,4
iq,2012,16,4
iq,2012,17,3
iq,2012,18,3
iq,2012,19,3
iq,2012,20,3
iq,2012,21,1
iq,2012,22,1
iq,2012,23,1
iq,2012,24,3
iq,2012,25,1
iq,2012,26,1
iq,2012,27,3
iq,2012,28,2
iq,2012,29,2
iq,2012,30,3
iq,2012,31,1
iq,2012,32,2
iq,2012,33,3
iq,2012,34,3
iq,2012,35,1
iq,2012,36,2
iq,2012,37,3
iq,2012,38,3
iq,2012,39,5
iq,2012,40,6
iq,2012,41,8
iq,2012,42,8
iq,2012,43,10
iq,2012,44,6
iq,2012,45,5
iq,2012,46,7
iq,2012,47,12
iq,2012,48,14
iq,2012,49,11
iq,2012,50,9
iq,2012,51,6
iq,2013,1,4
iq,2013,2,6
iq,2013,3,10
iq,2013,4,12
iq,2013,5,10
iq,2013,6,10
iq,2013,7,9
iq,2013,8,10
iq,2013,9,8
iq,2013,10,6
iq,2013,11,4
iq,2013,12,5
iq,2013,13,4
iq,2013,14,3
iq,2013,15,2
iq,2013,16,2
iq,2013,17,3
iq,2013,18,0
iq,2013,19,2
iq,2013,20,2
iq,2013,21,1
iq,2013,22,1
iq,2013,23,2
iq,2013,24,1
iq,2013,25,-1
iq,2013,26,0
