city,year,weekofyear,total_cases
sj,2008,18,11
sj,2008,19,12
sj,2008,20,25
sj,2008,21,13
sj,2008,22,11
sj,2008,23,22
sj,2008,24,16
sj,2008,25,19
sj,2008,26,13
sj,2008,27,13
sj,2008,28,26
sj,2008,29,21
sj,2008,30,28
sj,2008,31,29
sj,2008,32,23
sj,2008,33,37
sj,2008,34,30
sj,2008,35,40
sj,2008,36,68
sj,2008,37,49
sj,2008,38,50
sj,2008,39,53
sj,2008,40,51
sj,2008,41,58
sj,2008,42,44
sj,2008,43,31
sj,2008,44,60
sj,2008,45,34
sj,2008,46,50
sj,2008,47,88
sj,2008,48,45
sj,2008,49,20
sj,2008,50,27
sj,2008,51,46
sj,2008,52,33
sj,2009,1,31
sj,2009,2,35
sj,2009,3,29
sj,2009,4,27
sj,2009,5,29
sj,2009,6,22
sj,2009,7,20
sj,2009,8,17
sj,2009,9,18
sj,2009,10,23
sj,2009,11,7
sj,2009,12,9
sj,2009,13,6
sj,2009,14,9
sj,2009,15,11
sj,2009,16,8
sj,2009,17,16
sj,2009,18,16
sj,2009,19,12
sj,2009,20,15
sj,2009,21,17
sj,2009,22,9
sj,2009,23,12
sj,2009,24,16
sj,2009,25,21
sj,2009,26,47
sj,2009,27,27
sj,2009,28,23
sj,2009,29,30
sj,2009,30,30
sj,2009,31,34
sj,2009,32,37
sj,2009,33,26
sj,2009,34,31
sj,2009,35,44
sj,2009,36,46
sj,2009,37,51
sj,2009,38,44
sj,2009,39,37
sj,2009,40,49
sj,2009,41,51
sj,2009,42,51
sj,2009,43,32
sj,2009,44,172
sj,2009,45,120
sj,2009,46,30
sj,2009,47,32
sj,2009,48,50
sj,2009,49,53
sj,2009,50,30
sj,2009,51,67
sj,2009,52,21
sj,2010,53,51
sj,2010,1,27
sj,2010,2,17
sj,2010,3,60
sj,2010,4,34
sj,2010,5,31
sj,2010,6,29
sj,2010,7,16
sj,2010,8,11
sj,2010,9,35
sj,2010,10,28
sj,2010,11,19
sj,2010,12,34
sj,2010,13,17
sj,2010,14,13
sj,2010,15,12
sj,2010,16,10
sj,2010,17,18
sj,2010,18,10
sj,2010,19,12
sj,2010,20,20
sj,2010,21,17
sj,2010,22,76
sj,2010,23,36
sj,2010,24,46
sj,2010,25,25
sj,2010,26,39
sj,2010,27,53
sj,2010,28,76
sj,2010,29,42
sj,2010,30,62
sj,2010,31,45
sj,2010,32,65
sj,2010,33,42
sj,2010,34,50
sj,2010,35,62
sj,2010,36,55
sj,2010,37,74
sj,2010,38,50
sj,2010,39,29
sj,2010,40,63
sj,2010,41,53
sj,2010,42,47
sj,2010,43,129
sj,2010,44,37
sj,2010,45,59
sj,2010,46,20
sj,2010,47,25
sj,2010,48,17
sj,2010,49,24
sj,2010,50,16
sj,2010,51,18
sj,2011,52,20
sj,2011,1,19
sj,2011,2,31
sj,2011,3,24
sj,2011,4,21
sj,2011,5,19
sj,2011,6,15
sj,2011,7,17
sj,2011,8,21
sj,2011,9,13
sj,2011,10,15
sj,2011,11,8
sj,2011,12,9
sj,2011,13,16
sj,2011,14,17
sj,2011,15,14
sj,2011,16,16
sj,2011,17,11
sj,2011,18,14
sj,2011,19,6
sj,2011,20,30
sj,2011,21,17
sj,2011,22,20
sj,2011,23,17
sj,2011,24,79
sj,2011,25,45
sj,2011,26,45
sj,2011,27,44
sj,2011,28,37
sj,2011,29,18
sj,2011,30,63
sj,2011,31,27
sj,2011,32,77
sj,2011,33,35
sj,2011,34,74
sj,2011,35,34
sj,2011,36,50
sj,2011,37,45
sj,2011,38,42
sj,2011,39,45
sj,2011,40,41
sj,2011,41,34
sj,2011,42,29
sj,2011,43,49
sj,2011,44,51
sj,2011,45,41
sj,2011,46,33
sj,2011,47,61
sj,2011,48,46
sj,2011,49,41
sj,2011,50,63
sj,2011,51,29
sj,2012,52,38
sj,2012,1,35
sj,2012,2,24
sj,2012,3,23
sj,2012,4,27
sj,2012,5,21
sj,2012,6,25
sj,2012,7,14
sj,2012,8,20
sj,2012,9,15
sj,2012,10,34
sj,2012,11,20
sj,2012,12,11
sj,2012,13,19
sj,2012,14,20
sj,2012,15,11
sj,2012,16,16
sj,2012,17,11
sj,2012,18,17
sj,2012,19,24
sj,2012,20,19
sj,2012,21,22
sj,2012,22,9
sj,2012,23,27
sj,2012,24,26
sj,2012,25,32
sj,2012,26,28
sj,2012,27,22
sj,2012,28,14
sj,2012,29,26
sj,2012,30,30
sj,2012,31,20
sj,2012,32,28
sj,2012,33,37
sj,2012,34,25
sj,2012,35,33
sj,2012,36,49
sj,2012,37,105
sj,2012,38,85
sj,2012,39,57
sj,2012,40,45
sj,2012,41,79
sj,2012,42,44
sj,2012,43,42
sj,2012,44,38
sj,2012,45,69
sj,2012,46,57
sj,2012,47,38
sj,2012,48,48
sj,2012,49,43
sj,2012,50,31
sj,2012,51,20
sj,2013,1,39
sj,2013,2,33
sj,2013,3,18
sj,2013,4,22
sj,2013,5,25
sj,2013,6,24
sj,2013,7,18
sj,2013,8,17
sj,2013,9,11
sj,2013,10,9
sj,2013,11,15
sj,2013,12,7
sj,2013,13,16
sj,2013,14,19
sj,2013,15,9
sj,2013,16,10
sj,2013,17,17
iq,2010,26,10
iq,2010,27,5
iq,2010,28,10
iq,2010,29,3
iq,2010,30,4
iq,2010,31,7
iq,2010,32,4
iq,2010,33,6
iq,2010,34,5
iq,2010,35,8
iq,2010,36,9
iq,2010,37,6
iq,2010,38,9
iq,2010,39,6
iq,2010,40,6
iq,2010,41,8
iq,2010,42,8
iq,2010,43,9
iq,2010,44,9
iq,2010,45,8
iq,2010,46,10
iq,2010,47,9
iq,2010,48,12
iq,2010,49,9
iq,2010,50,9
iq,2010,51,8
iq,2011,52,6
iq,2011,1,5
iq,2011,2,8
iq,2011,3,8
iq,2011,4,4
iq,2011,5,9
iq,2011,6,9
iq,2011,7,10
iq,2011,8,11
iq,2011,9,9
iq,2011,10,7
iq,2011,11,9
iq,2011,12,12
iq,2011,13,10
iq,2011,14,10
iq,2011,15,7
iq,2011,16,8
iq,2011,17,10
iq,2011,18,9
iq,2011,19,3
iq,2011,20,7
iq,2011,21,6
iq,2011,22,6
iq,2011,23,3
iq,2011,24,6
iq,2011,25,3
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,4
iq,2011,33,4
iq,2011,34,5
iq,2011,35,5
iq,2011,36,4
iq,2011,37,8
iq,2011,38,7
iq,2011,39,6
iq,2011,40,6
iq,2011,41,9
iq,2011,42,13
iq,2011,43,9
iq,2011,44,7
iq,2011,45,9
iq,2011,46,11
iq,2011,47,10
iq,2011,48,9
iq,2011,49,10
iq,2011,50,8
iq,2011,51,9
iq,2012,52,9
iq,2012,1,7
iq,2012,2,8
iq,2012,3,6
iq,2012,4,6
iq,2012,5,10
iq,2012,6,10
iq,2012,7,6
iq,2012,8,9
iq,2012,9,5
iq,2012,10,7
iq,2012,11,7
iq,2012,12,5
iq,2012,13,9
iq,2012,14,6
iq,2012,15,14
iq,2012,16,11
iq,2012,17,9
iq,2012,18,9
iq,2012,19,4
iq,2012,20,7
iq,2012,21,4
iq,2012,22,4
iq,2012,23,5
iq,2012,24,3
iq,2012,25,5
iq,2012,26,6
iq,2012,27,3
iq,2012,28,3
iq,2012,29,6
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,7
iq,2012,35,6
iq,2012,36,5
iq,2012,37,5
iq,2012,38,6
iq,2012,39,6
iq,2012,40,4
iq,2012,41,9
iq,2012,42,8
iq,2012,43,9
iq,2012,44,9
iq,2012,45,8
iq,2012,46,9
iq,2012,47,9
iq,2012,48,10
iq,2012,49,9
iq,2012,50,11
iq,2012,51,9
iq,2013,1,13
iq,2013,2,5
iq,2013,3,6
iq,2013,4,12
iq,2013,5,10
iq,2013,6,9
iq,2013,7,9
iq,2013,8,9
iq,2013,9,9
iq,2013,10,8
iq,2013,11,10
iq,2013,12,12
iq,2013,13,9
iq,2013,14,10
iq,2013,15,10
iq,2013,16,9
iq,2013,17,8
