city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,13
sj,2008,20,15
sj,2008,21,16
sj,2008,22,12
sj,2008,23,12
sj,2008,24,17
sj,2008,25,13
sj,2008,26,14
sj,2008,27,9
sj,2008,28,17
sj,2008,29,14
sj,2008,30,53
sj,2008,31,51
sj,2008,32,43
sj,2008,33,27
sj,2008,34,72
sj,2008,35,121
sj,2008,36,130
sj,2008,37,37
sj,2008,38,41
sj,2008,39,42
sj,2008,40,51
sj,2008,41,64
sj,2008,42,43
sj,2008,43,45
sj,2008,44,56
sj,2008,45,33
sj,2008,46,48
sj,2008,47,42
sj,2008,48,48
sj,2008,49,15
sj,2008,50,38
sj,2008,51,40
sj,2008,52,45
sj,2009,1,21
sj,2009,2,28
sj,2009,3,32
sj,2009,4,30
sj,2009,5,26
sj,2009,6,15
sj,2009,7,20
sj,2009,8,16
sj,2009,9,10
sj,2009,10,15
sj,2009,11,9
sj,2009,12,8
sj,2009,13,7
sj,2009,14,7
sj,2009,15,8
sj,2009,16,15
sj,2009,17,17
sj,2009,18,11
sj,2009,19,8
sj,2009,20,9
sj,2009,21,12
sj,2009,22,14
sj,2009,23,18
sj,2009,24,22
sj,2009,25,19
sj,2009,26,16
sj,2009,27,14
sj,2009,28,16
sj,2009,29,23
sj,2009,30,25
sj,2009,31,15
sj,2009,32,36
sj,2009,33,17
sj,2009,34,37
sj,2009,35,48
sj,2009,36,52
sj,2009,37,35
sj,2009,38,58
sj,2009,39,51
sj,2009,40,50
sj,2009,41,48
sj,2009,42,39
sj,2009,43,64
sj,2009,44,77
sj,2009,45,53
sj,2009,46,52
sj,2009,47,43
sj,2009,48,35
sj,2009,49,44
sj,2009,50,38
sj,2009,51,46
sj,2009,52,38
sj,2010,53,41
sj,2010,1,47
sj,2010,2,36
sj,2010,3,61
sj,2010,4,30
sj,2010,5,20
sj,2010,6,26
sj,2010,7,18
sj,2010,8,36
sj,2010,9,30
sj,2010,10,17
sj,2010,11,11
sj,2010,12,23
sj,2010,13,28
sj,2010,14,10
sj,2010,15,13
sj,2010,16,13
sj,2010,17,16
sj,2010,18,11
sj,2010,19,13
sj,2010,20,15
sj,2010,21,28
sj,2010,22,45
sj,2010,23,59
sj,2010,24,53
sj,2010,25,93
sj,2010,26,96
sj,2010,27,53
sj,2010,28,51
sj,2010,29,71
sj,2010,30,159
sj,2010,31,78
sj,2010,32,207
sj,2010,33,201
sj,2010,34,239
sj,2010,35,199
sj,2010,36,84
sj,2010,37,97
sj,2010,38,37
sj,2010,39,93
sj,2010,40,105
sj,2010,41,40
sj,2010,42,36
sj,2010,43,58
sj,2010,44,41
sj,2010,45,41
sj,2010,46,33
sj,2010,47,30
sj,2010,48,23
sj,2010,49,34
sj,2010,50,39
sj,2010,51,28
sj,2011,52,27
sj,2011,1,44
sj,2011,2,19
sj,2011,3,29
sj,2011,4,26
