city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,13
sj,2008,20,15
sj,2008,21,14
sj,2008,22,12
sj,2008,23,12
sj,2008,24,14
sj,2008,25,13
sj,2008,26,18
sj,2008,27,15
sj,2008,28,21
sj,2008,29,19
sj,2008,30,41
sj,2008,31,50
sj,2008,32,34
sj,2008,33,31
sj,2008,34,61
sj,2008,35,154
sj,2008,36,125
sj,2008,37,38
sj,2008,38,32
sj,2008,39,41
sj,2008,40,51
sj,2008,41,53
sj,2008,42,45
sj,2008,43,52
sj,2008,44,51
sj,2008,45,37
sj,2008,46,43
sj,2008,47,45
sj,2008,48,44
sj,2008,49,23
sj,2008,50,42
sj,2008,51,22
sj,2008,52,33
sj,2009,1,23
sj,2009,2,27
sj,2009,3,31
sj,2009,4,25
sj,2009,5,25
sj,2009,6,18
sj,2009,7,19
sj,2009,8,13
sj,2009,9,16
sj,2009,10,21
sj,2009,11,10
sj,2009,12,6
sj,2009,13,11
sj,2009,14,11
sj,2009,15,11
sj,2009,16,16
sj,2009,17,14
sj,2009,18,8
sj,2009,19,8
sj,2009,20,7
sj,2009,21,11
sj,2009,22,15
sj,2009,23,17
sj,2009,24,16
sj,2009,25,16
sj,2009,26,19
sj,2009,27,20
sj,2009,28,17
sj,2009,29,20
sj,2009,30,25
sj,2009,31,26
sj,2009,32,34
sj,2009,33,33
sj,2009,34,38
sj,2009,35,41
sj,2009,36,49
sj,2009,37,34
sj,2009,38,51
sj,2009,39,48
sj,2009,40,57
sj,2009,41,52
sj,2009,42,46
sj,2009,43,48
sj,2009,44,69
sj,2009,45,46
sj,2009,46,56
sj,2009,47,40
sj,2009,48,40
sj,2009,49,41
sj,2009,50,36
sj,2009,51,38
sj,2009,52,37
sj,2010,53,33
sj,2010,1,36
sj,2010,2,27
sj,2010,3,42
sj,2010,4,32
sj,2010,5,24
sj,2010,6,22
sj,2010,7,18
sj,2010,8,24
sj,2010,9,28
sj,2010,10,15
sj,2010,11,9
sj,2010,12,21
sj,2010,13,18
sj,2010,14,10
sj,2010,15,12
sj,2010,16,10
sj,2010,17,12
sj,2010,18,13
sj,2010,19,13
sj,2010,20,12
sj,2010,21,24
sj,2010,22,54
sj,2010,23,40
sj,2010,24,41
sj,2010,25,106
sj,2010,26,110
sj,2010,27,44
sj,2010,28,45
sj,2010,29,68
sj,2010,30,179
sj,2010,31,77
sj,2010,32,215
sj,2010,33,204
sj,2010,34,239
sj,2010,35,222
sj,2010,36,91
sj,2010,37,102
sj,2010,38,45
sj,2010,39,81
sj,2010,40,110
sj,2010,41,47
sj,2010,42,40
sj,2010,43,61
sj,2010,44,50
sj,2010,45,44
sj,2010,46,34
sj,2010,47,42
sj,2010,48,35
sj,2010,49,36
sj,2010,50,37
sj,2010,51,28
sj,2011,52,26
sj,2011,1,34
sj,2011,2,23
sj,2011,3,29
sj,2011,4,26
sj,2011,5,26
sj,2011,6,18
sj,2011,7,16
sj,2011,8,19
sj,2011,9,17
sj,2011,10,11
sj,2011,11,10
sj,2011,12,13
sj,2011,13,16
sj,2011,14,11
sj,2011,15,8
sj,2011,16,10
sj,2011,17,10
sj,2011,18,13
sj,2011,19,10
sj,2011,20,6
sj,2011,21,12
sj,2011,22,11
sj,2011,23,48
sj,2011,24,54
sj,2011,25,66
sj,2011,26,31
sj,2011,27,25
sj,2011,28,64
sj,2011,29,24
sj,2011,30,132
sj,2011,31,56
sj,2011,32,175
sj,2011,33,126
sj,2011,34,69
sj,2011,35,37
sj,2011,36,44
sj,2011,37,42
sj,2011,38,37
sj,2011,39,37
sj,2011,40,56
sj,2011,41,50
sj,2011,42,61
sj,2011,43,37
sj,2011,44,41
sj,2011,45,56
sj,2011,46,50
sj,2011,47,44
sj,2011,48,32
sj,2011,49,37
sj,2011,50,34
sj,2011,51,27
sj,2012,52,31
sj,2012,1,26
sj,2012,2,27
sj,2012,3,29
sj,2012,4,26
sj,2012,5,21
sj,2012,6,23
sj,2012,7,9
sj,2012,8,18
sj,2012,9,15
sj,2012,10,14
sj,2012,11,11
sj,2012,12,10
sj,2012,13,13
sj,2012,14,14
sj,2012,15,19
sj,2012,16,13
sj,2012,17,12
sj,2012,18,11
sj,2012,19,9
sj,2012,20,17
sj,2012,21,16
sj,2012,22,13
sj,2012,23,14
sj,2012,24,11
sj,2012,25,13
sj,2012,26,16
sj,2012,27,17
sj,2012,28,26
sj,2012,29,37
sj,2012,30,26
sj,2012,31,33
sj,2012,32,42
sj,2012,33,34
sj,2012,34,35
sj,2012,35,41
sj,2012,36,45
sj,2012,37,43
sj,2012,38,45
sj,2012,39,38
sj,2012,40,47
sj,2012,41,77
sj,2012,42,49
sj,2012,43,52
sj,2012,44,54
sj,2012,45,60
sj,2012,46,32
sj,2012,47,49
sj,2012,48,51
sj,2012,49,42
sj,2012,50,30
sj,2012,51,31
sj,2013,1,28
sj,2013,2,26
sj,2013,3,23
sj,2013,4,27
sj,2013,5,27
sj,2013,6,18
sj,2013,7,18
sj,2013,8,17
sj,2013,9,25
sj,2013,10,12
sj,2013,11,7
sj,2013,12,13
sj,2013,13,10
sj,2013,14,14
sj,2013,15,19
sj,2013,16,15
sj,2013,17,14
iq,2010,26,4
iq,2010,27,4
iq,2010,28,3
iq,2010,29,2
